,Country,Indicator,Missing Data Percentage
724,Indonesia,Ice_Cream_Volume_per_capita,0.0
725,Japan,Ice_Cream_Volume_per_capita,0.0
726,Kazakhstan,Ice_Cream_Volume_per_capita,0.0
727,Malaysia,Ice_Cream_Volume_per_capita,0.0
728,Pakistan,Ice_Cream_Volume_per_capita,0.0
729,Philippines,Ice_Cream_Volume_per_capita,0.0
730,Singapore,Ice_Cream_Volume_per_capita,0.0
731,South Korea,Ice_Cream_Volume_per_capita,0.0
732,Taiwan,Ice_Cream_Volume_per_capita,0.0
733,Thailand,Ice_Cream_Volume_per_capita,0.0
734,Uzbekistan,Ice_Cream_Volume_per_capita,0.0
735,Vietnam,Ice_Cream_Volume_per_capita,0.0
736,Australia,Ice_Cream_Volume_per_capita,0.0
737,New Zealand,Ice_Cream_Volume_per_capita,0.0
738,Belarus,Ice_Cream_Volume_per_capita,0.0
739,Bosnia-Herzegovina,Ice_Cream_Volume_per_capita,0.0
740,Bulgaria,Ice_Cream_Volume_per_capita,0.0
741,Croatia,Ice_Cream_Volume_per_capita,0.0
742,Czech Republic,Ice_Cream_Volume_per_capita,0.0
743,Estonia,Ice_Cream_Volume_per_capita,0.0
744,Georgia,Ice_Cream_Volume_per_capita,0.0
745,Hungary,Ice_Cream_Volume_per_capita,0.0
746,Latvia,Ice_Cream_Volume_per_capita,0.0
747,Lithuania,Ice_Cream_Volume_per_capita,0.0
748,Macedonia,Ice_Cream_Volume_per_capita,0.0
749,Poland,Ice_Cream_Volume_per_capita,0.0
750,Romania,Ice_Cream_Volume_per_capita,0.0
751,Russia,Ice_Cream_Volume_per_capita,0.0
752,Serbia,Ice_Cream_Volume_per_capita,0.0
753,Slovakia,Ice_Cream_Volume_per_capita,0.0
754,Slovenia,Ice_Cream_Volume_per_capita,0.0
755,Ukraine,Ice_Cream_Volume_per_capita,0.0
756,Argentina,Ice_Cream_Volume_per_capita,0.0
757,Bolivia,Ice_Cream_Volume_per_capita,0.0
758,Brazil,Ice_Cream_Volume_per_capita,0.0
759,Chile,Ice_Cream_Volume_per_capita,0.0
760,Colombia,Ice_Cream_Volume_per_capita,0.0
761,Costa Rica,Ice_Cream_Volume_per_capita,0.0
762,Dominican Republic,Ice_Cream_Volume_per_capita,0.0
763,Ecuador,Ice_Cream_Volume_per_capita,0.0
764,Guatemala,Ice_Cream_Volume_per_capita,0.0
765,Mexico,Ice_Cream_Volume_per_capita,0.0
766,Peru,Ice_Cream_Volume_per_capita,0.0
767,Uruguay,Ice_Cream_Volume_per_capita,0.0
768,Venezuela,Ice_Cream_Volume_per_capita,0.0
769,Algeria,Ice_Cream_Volume_per_capita,0.0
770,Cameroon,Ice_Cream_Volume_per_capita,0.0
771,Egypt,Ice_Cream_Volume_per_capita,0.0
772,Iran,Ice_Cream_Volume_per_capita,0.0
773,Israel,Ice_Cream_Volume_per_capita,0.0
774,Kenya,Ice_Cream_Volume_per_capita,0.0
775,Morocco,Ice_Cream_Volume_per_capita,0.0
776,Nigeria,Ice_Cream_Volume_per_capita,0.0
777,Saudi Arabia,Ice_Cream_Volume_per_capita,0.0
778,South Africa,Ice_Cream_Volume_per_capita,0.0
779,Tunisia,Ice_Cream_Volume_per_capita,0.0
780,United Arab Emirates,Ice_Cream_Volume_per_capita,0.0
781,Canada,Ice_Cream_Volume_per_capita,0.0
782,USA,Ice_Cream_Volume_per_capita,0.0
783,Austria,Ice_Cream_Volume_per_capita,0.0
784,Belgium,Ice_Cream_Volume_per_capita,0.0
785,Denmark,Ice_Cream_Volume_per_capita,0.0
786,Finland,Ice_Cream_Volume_per_capita,0.0
787,France,Ice_Cream_Volume_per_capita,0.0
788,Germany,Ice_Cream_Volume_per_capita,0.0
789,Greece,Ice_Cream_Volume_per_capita,0.0
790,Ireland,Ice_Cream_Volume_per_capita,0.0
791,Italy,Ice_Cream_Volume_per_capita,0.0
792,Netherlands,Ice_Cream_Volume_per_capita,0.0
793,Norway,Ice_Cream_Volume_per_capita,0.0
794,Portugal,Ice_Cream_Volume_per_capita,0.0
795,Spain,Ice_Cream_Volume_per_capita,0.0
796,Sweden,Ice_Cream_Volume_per_capita,0.0
797,Switzerland,Ice_Cream_Volume_per_capita,0.0
798,Turkey,Ice_Cream_Volume_per_capita,0.0
799,United Kingdom,Ice_Cream_Volume_per_capita,0.0
800,Azerbaijan,Ice_Cream_Value_per_capita,55.00000000000001
801,China,Ice_Cream_Value_per_capita,0.0
802,"Hong Kong, China",Ice_Cream_Value_per_capita,0.0
803,India,Ice_Cream_Value_per_capita,0.0
804,Indonesia,Ice_Cream_Value_per_capita,0.0
805,Japan,Ice_Cream_Value_per_capita,0.0
806,Kazakhstan,Ice_Cream_Value_per_capita,20.0
807,Malaysia,Ice_Cream_Value_per_capita,0.0
808,Pakistan,Ice_Cream_Value_per_capita,0.0
809,Philippines,Ice_Cream_Value_per_capita,0.0
810,Singapore,Ice_Cream_Value_per_capita,0.0
811,South Korea,Ice_Cream_Value_per_capita,0.0
812,Taiwan,Ice_Cream_Value_per_capita,0.0
813,Thailand,Ice_Cream_Value_per_capita,0.0
814,Uzbekistan,Ice_Cream_Value_per_capita,0.0
815,Vietnam,Ice_Cream_Value_per_capita,0.0
816,Australia,Ice_Cream_Value_per_capita,0.0
817,New Zealand,Ice_Cream_Value_per_capita,0.0
818,Belarus,Ice_Cream_Value_per_capita,0.0
819,Bosnia-Herzegovina,Ice_Cream_Value_per_capita,0.0
820,Bulgaria,Ice_Cream_Value_per_capita,0.0
821,Croatia,Ice_Cream_Value_per_capita,0.0
822,Czech Republic,Ice_Cream_Value_per_capita,0.0
823,Estonia,Ice_Cream_Value_per_capita,0.0
824,Georgia,Ice_Cream_Value_per_capita,0.0
825,Hungary,Ice_Cream_Value_per_capita,0.0
826,Latvia,Ice_Cream_Value_per_capita,0.0
827,Lithuania,Ice_Cream_Value_per_capita,0.0
828,Macedonia,Ice_Cream_Value_per_capita,0.0
829,Poland,Ice_Cream_Value_per_capita,0.0
830,Romania,Ice_Cream_Value_per_capita,0.0
831,Russia,Ice_Cream_Value_per_capita,0.0
832,Serbia,Ice_Cream_Value_per_capita,0.0
833,Slovakia,Ice_Cream_Value_per_capita,0.0
834,Slovenia,Ice_Cream_Value_per_capita,0.0
835,Ukraine,Ice_Cream_Value_per_capita,0.0
836,Argentina,Ice_Cream_Value_per_capita,0.0
837,Bolivia,Ice_Cream_Value_per_capita,0.0
838,Brazil,Ice_Cream_Value_per_capita,0.0
839,Chile,Ice_Cream_Value_per_capita,0.0
840,Colombia,Ice_Cream_Value_per_capita,0.0
841,Costa Rica,Ice_Cream_Value_per_capita,0.0
842,Dominican Republic,Ice_Cream_Value_per_capita,5.0
843,Ecuador,Ice_Cream_Value_per_capita,50.0
844,Guatemala,Ice_Cream_Value_per_capita,55.00000000000001
845,Mexico,Ice_Cream_Value_per_capita,0.0
846,Peru,Ice_Cream_Value_per_capita,0.0
847,Uruguay,Ice_Cream_Value_per_capita,0.0
848,Venezuela,Ice_Cream_Value_per_capita,0.0
849,Algeria,Ice_Cream_Value_per_capita,0.0
850,Cameroon,Ice_Cream_Value_per_capita,40.0
851,Egypt,Ice_Cream_Value_per_capita,0.0
852,Iran,Ice_Cream_Value_per_capita,0.0
853,Israel,Ice_Cream_Value_per_capita,0.0
854,Kenya,Ice_Cream_Value_per_capita,0.0
855,Morocco,Ice_Cream_Value_per_capita,0.0
856,Nigeria,Ice_Cream_Value_per_capita,70.0
857,Saudi Arabia,Ice_Cream_Value_per_capita,0.0
858,South Africa,Ice_Cream_Value_per_capita,0.0
859,Tunisia,Ice_Cream_Value_per_capita,0.0
860,United Arab Emirates,Ice_Cream_Value_per_capita,0.0
861,Canada,Ice_Cream_Value_per_capita,0.0
862,USA,Ice_Cream_Value_per_capita,0.0
863,Austria,Ice_Cream_Value_per_capita,0.0
864,Belgium,Ice_Cream_Value_per_capita,0.0
865,Denmark,Ice_Cream_Value_per_capita,0.0
866,Finland,Ice_Cream_Value_per_capita,0.0
867,France,Ice_Cream_Value_per_capita,0.0
868,Germany,Ice_Cream_Value_per_capita,0.0
869,Greece,Ice_Cream_Value_per_capita,0.0
870,Ireland,Ice_Cream_Value_per_capita,0.0
871,Italy,Ice_Cream_Value_per_capita,0.0
872,Netherlands,Ice_Cream_Value_per_capita,0.0
873,Norway,Ice_Cream_Value_per_capita,0.0
874,Portugal,Ice_Cream_Value_per_capita,0.0
875,Spain,Ice_Cream_Value_per_capita,0.0
876,Sweden,Ice_Cream_Value_per_capita,0.0
877,Switzerland,Ice_Cream_Value_per_capita,0.0
878,Turkey,Ice_Cream_Value_per_capita,0.0
879,United Kingdom,Ice_Cream_Value_per_capita,0.0
